                                        Data Report
                                                                  File created on:2022-08-21 08:08:23

Device Model:GSP-6
Serial Number:EFG217104173
Trip Description:GSP-6 temperature & humidity Data Logger
Logging Interval:0:1:0
Start Time:2022-08-20 18:34:55
Button Stop:Enable
Storage Mode:Stop when full
Alarm Tone:Disable
Alarm Logging Interval Shorten (1 min):Disable
Data Points:814
Mean Kinetic Temperature (MKT):23,8
First Reading:2022-08-20 18:34:55
Last Reading:2022-08-21 08:07:55
Maximum(Temperature):26,0°C/57,6%
Minimum(Temperature):22,4°C/51,6%
Average(Temperature):23,8°C/56,6%
First Alarm:N/A/N/A
Logging Duration:0D 13H 33M 0S
H1:(Temperature)    60°C    Normal
L1:(Temperature)    -30°C    Normal
H1:(Humidity)    90%    Normal
L1:(Humidity)    10%    Normal


       No.                      TimeTemperature°C  Humidity%
         1           20.08.2022 18:34:55        26           52,6
         2           20.08.2022 18:35:55      25,5           51,6
         3           20.08.2022 18:36:55      25,5           51,6
         4           20.08.2022 18:37:55      25,4           51,9
         5           20.08.2022 18:38:55      25,3           52,2
         6           20.08.2022 18:39:55      25,1           52,5
         7           20.08.2022 18:40:55        25           52,8
         8           20.08.2022 18:41:55      24,9           53,4
         9           20.08.2022 18:42:55      24,8           53,7
        10           20.08.2022 18:43:55      24,7           54,1
        11           20.08.2022 18:44:55      24,7           54,2
        12           20.08.2022 18:45:55      24,6           54,4
        13           20.08.2022 18:46:55      24,6           54,6
        14           20.08.2022 18:47:55      24,5           54,8
        15           20.08.2022 18:48:55      24,5           54,8
        16           20.08.2022 18:49:55      24,4             55
        17           20.08.2022 18:50:55      24,4           55,2
        18           20.08.2022 18:51:55      24,3           55,3
        19           20.08.2022 18:52:55      24,3           55,4
        20           20.08.2022 18:53:55      24,3           55,1
        21           20.08.2022 18:54:55      24,2           55,2
        22           20.08.2022 18:55:55      24,2           55,5
        23           20.08.2022 18:56:55      24,2           55,4
        24           20.08.2022 18:57:55      24,2           55,6
        25           20.08.2022 18:58:55      24,2           55,6
        26           20.08.2022 18:59:55      24,1           55,7
        27           20.08.2022 19:00:55      24,1           55,7
        28           20.08.2022 19:01:55      24,1           55,8
        29           20.08.2022 19:02:55      24,1           55,9
        30           20.08.2022 19:03:55      24,1           55,9
        31           20.08.2022 19:04:55      24,1           55,9
        32           20.08.2022 19:05:55      24,1             56
        33           20.08.2022 19:06:55      24,1           55,9
        34           20.08.2022 19:07:55      24,1           56,1
        35           20.08.2022 19:08:55      24,1           55,9
        36           20.08.2022 19:09:55      24,1           55,9
        37           20.08.2022 19:10:55        24           55,9
        38           20.08.2022 19:11:55        24             56
