                                        Data Report
                                                                  File created on:2022-10-09 15:21:52

Device Model:GSP-6
Serial Number:EFG217104173
Trip Description:GSP-6 temperature & humidity Data Logger
Logging Interval:0:5:0
Start Time:2022-10-01 16:34:12
Button Stop:Enable
Storage Mode:Circular Logging
Alarm Tone:Disable
Alarm Logging Interval Shorten (1 min):Disable
Data Points:2290
Mean Kinetic Temperature (MKT):19,9
First Reading:2022-10-01 16:34:12
Last Reading:2022-10-09 15:19:12
Maximum(Temperature):21,4°C/59,8%
Minimum(Temperature):18,5°C/50,8%
Average(Temperature):19,9°C/55,9%
First Alarm:N/A/N/A
Logging Duration:7D 22H 45M 0S
H1:(Temperature)    60°C    Normal
L1:(Temperature)    -30°C    Normal
H1:(Humidity)    90%    Normal
L1:(Humidity)    10%    Normal


       No.                      TimeTemperature°C  Humidity%
         1           01.10.2022 16:34:12      21,4           51,3
         2           01.10.2022 16:39:12      20,6           50,8
         3           01.10.2022 16:44:12      20,5             52
         4           01.10.2022 16:49:12      20,5           52,4
         5           01.10.2022 16:54:12      20,4           52,9
         6           01.10.2022 16:59:12      20,3           51,8
         7           01.10.2022 17:04:12      20,2           53,2
         8           01.10.2022 17:09:12      19,9           53,8
         9           01.10.2022 17:14:12      19,8           54,1
        10           01.10.2022 17:19:12      19,8           54,3
        11           01.10.2022 17:24:12      19,9           54,3
        12           01.10.2022 17:29:12      19,9           54,3
        13           01.10.2022 17:34:12        20           54,3
        14           01.10.2022 17:39:12      19,9           54,3
        15           01.10.2022 17:44:12      19,9           54,5
        16           01.10.2022 17:49:12      19,9           54,5
        17           01.10.2022 17:54:12      19,9           54,5
        18           01.10.2022 17:59:12      19,9           54,5
        19           01.10.2022 18:04:12        20           54,7
        20           01.10.2022 18:09:12        20           54,7
        21           01.10.2022 18:14:12        20           54,7
        22           01.10.2022 18:19:12        20           54,7
        23           01.10.2022 18:24:12        20           54,7
        24           01.10.2022 18:29:12        20           54,7
        25           01.10.2022 18:34:12        20           54,7
        26           01.10.2022 18:39:12        20           54,7
        27           01.10.2022 18:44:12        20           54,7
        28           01.10.2022 18:49:12      19,9           54,8
        29           01.10.2022 18:54:12      19,9           54,7
        30           01.10.2022 18:59:12      19,9           54,7
        31           01.10.2022 19:04:12      19,9           54,7
        32           01.10.2022 19:09:12      19,9           54,7
        33           01.10.2022 19:14:12      20,1           55,3
        34           01.10.2022 19:19:12      19,9           54,7
        35           01.10.2022 19:24:12      19,9           54,7
        36           01.10.2022 19:29:12      19,9           54,7
        37           01.10.2022 19:34:12      19,9           54,7
        38           01.10.2022 19:39:12      19,8           54,7
        39           01.10.2022 19:44:12      19,8           54,7
        40           01.10.2022 19:49:12      19,8           54,7
        41           01.10.2022 19:54:12      19,8           54,7
        42           01.10.2022 19:59:12      19,8           54,7
        43           01.10.2022 20:04:12      19,8           54,7
        44           01.10.2022 20:09:12      19,8           54,7
        45           01.10.2022 20:14:12      19,8           54,7
        46           01.10.2022 20:19:12      19,8           54,7
        47           01.10.2022 20:24:12      19,8           54,7
        48           01.10.2022 20:29:12      19,8           54,7
        49           01.10.2022 20:34:12      19,8           54,7
        50           01.10.2022 20:39:12      19,8           54,6
        51           01.10.2022 20:44:12      19,8           54,6
        52           01.10.2022 20:49:12      19,8           54,6
        53           01.10.2022 20:54:12      19,8           54,6
        54           01.10.2022 20:59:12      19,8           54,6
        55           01.10.2022 21:04:12      19,8           54,6
        56           01.10.2022 21:09:12      19,8           54,6
        57           01.10.2022 21:14:12      19,8           54,6
        58           01.10.2022 21:19:12      19,8           54,6
        59           01.10.2022 21:24:12      19,8           54,7
        60           01.10.2022 21:29:12      19,8           54,6
        61           01.10.2022 21:34:12      19,8           54,6
        62           01.10.2022 21:39:12      19,8           54,7
        63           01.10.2022 21:44:12      19,7           54,7
        64           01.10.2022 21:49:12      19,7           54,7
        65           01.10.2022 21:54:12      19,7           54,7
        66           01.10.2022 21:59:12      19,7           54,7
        67           01.10.2022 22:04:12      19,7           54,7
        68           01.10.2022 22:09:12      19,7           54,7
        69           01.10.2022 22:14:12      19,7           54,6
        70           01.10.2022 22:19:12      19,7           54,7
        71           01.10.2022 22:24:12      19,7           54,6
        72           01.10.2022 22:29:12      19,7           54,7
        73           01.10.2022 22:34:12      19,6           54,7
        74           01.10.2022 22:39:12      19,6           54,7
        75           01.10.2022 22:44:12      19,6           54,7
        76           01.10.2022 22:49:12      19,6           54,7
        77           01.10.2022 22:54:12      19,6           54,6
        78           01.10.2022 22:59:12      19,6           54,6
        79           01.10.2022 23:04:12      19,6           54,7
        80           01.10.2022 23:09:12      19,6           54,7
        81           01.10.2022 23:14:12      19,6           54,7
        82           01.10.2022 23:19:12      19,6           54,6
        83           01.10.2022 23:24:12      19,6           54,7
        84           01.10.2022 23:29:12      19,6           54,7
        85           01.10.2022 23:34:12      19,6           54,7
        86           01.10.2022 23:39:12      19,6           54,7
        87           01.10.2022 23:44:12      19,5           54,7
        88           01.10.2022 23:49:12      19,5           54,7
        89           01.10.2022 23:54:12      19,5           54,7
        90           01.10.2022 23:59:12      19,5           54,7
        91           02.10.2022 00:04:12      19,5           54,7
        92           02.10.2022 00:09:12      19,5           54,7
        93           02.10.2022 00:14:12      19,5           54,7
        94           02.10.2022 00:19:12      19,5           54,7
        95           02.10.2022 00:24:12      19,5           54,7
        96           02.10.2022 00:29:12      19,5           54,7
        97           02.10.2022 00:34:12      19,5           54,7
        98           02.10.2022 00:39:12      19,5           54,7
        99           02.10.2022 00:44:12      19,5           54,7
       100           02.10.2022 00:49:12      19,5           54,7
       101           02.10.2022 00:54:12      19,5           54,8
       102           02.10.2022 00:59:12      19,4           54,7
       103           02.10.2022 01:04:12      19,4           54,8
       104           02.10.2022 01:09:12      19,4           54,7
       105           02.10.2022 01:14:12      19,4           54,8
       106           02.10.2022 01:19:12      19,4           54,8
       107           02.10.2022 01:24:12      19,4           54,8
       108           02.10.2022 01:29:12      19,4           54,8
       109           02.10.2022 01:34:12      19,4           54,8
       110           02.10.2022 01:39:12      19,4           54,8
       111           02.10.2022 01:44:12      19,4           54,8
       112           02.10.2022 01:49:12      19,4           54,8
       113           02.10.2022 01:54:12      19,4           54,8
       114           02.10.2022 01:59:12      19,4           54,8
       115           02.10.2022 02:04:12      19,4           54,8
       116           02.10.2022 02:09:12      19,4           54,8
       117           02.10.2022 02:14:12      19,4           54,8
       118           02.10.2022 02:19:12      19,3           54,8
       119           02.10.2022 02:24:12      19,3           54,8
       120           02.10.2022 02:29:12      19,3           54,8
       121           02.10.2022 02:34:12      19,3           54,8
       122           02.10.2022 02:39:12      19,3           54,8
       123           02.10.2022 02:44:12      19,3           54,9
       124           02.10.2022 02:49:12      19,3           54,9
       125           02.10.2022 02:54:12      19,3           54,9
       126           02.10.2022 02:59:12      19,3           54,8
       127           02.10.2022 03:04:12      19,3           54,9
       128           02.10.2022 03:09:12      19,3           54,9
       129           02.10.2022 03:14:12      19,3           54,9
       130           02.10.2022 03:19:12      19,3           54,9
       131           02.10.2022 03:24:12      19,3           54,9
       132           02.10.2022 03:29:12      19,3           54,9
       133           02.10.2022 03:34:12      19,3             55
       134           02.10.2022 03:39:12      19,3             55
       135           02.10.2022 03:44:12      19,3             55
       136           02.10.2022 03:49:12      19,3             55
       137           02.10.2022 03:54:12      19,3           55,1
       138           02.10.2022 03:59:12      19,3           55,1
       139           02.10.2022 04:04:12      19,3           55,1
       140           02.10.2022 04:09:12      19,3           55,1
       141           02.10.2022 04:14:12      19,3           55,1
       142           02.10.2022 04:19:12      19,3           55,1
       143           02.10.2022 04:24:12      19,3           55,1
       144           02.10.2022 04:29:12      19,3           55,1
       145           02.10.2022 04:34:12      19,3           55,1
       146           02.10.2022 04:39:12      19,2           55,1
       147           02.10.2022 04:44:12      19,2           55,1
       148           02.10.2022 04:49:12      19,2           55,2
       149           02.10.2022 04:54:12      19,2           55,1
       150           02.10.2022 04:59:12      19,2           55,1
       151           02.10.2022 05:04:12      19,2           55,1
       152           02.10.2022 05:09:12      19,2           55,1
       153           02.10.2022 05:14:12      19,2           55,1
       154           02.10.2022 05:19:12      19,2           55,1
       155           02.10.2022 05:24:12      19,2           55,1
       156           02.10.2022 05:29:12      19,2           55,1
       157           02.10.2022 05:34:12      19,2           55,1
       158           02.10.2022 05:39:12      19,2           55,1
       159           02.10.2022 05:44:12      19,2           55,1
       160           02.10.2022 05:49:12      19,2           55,2
       161           02.10.2022 05:54:12      19,2           55,2
       162           02.10.2022 05:59:12      19,2           55,1
       163           02.10.2022 06:04:12      19,2           55,1
       164           02.10.2022 06:09:12      19,2           55,2
       165           02.10.2022 06:14:12      19,2           55,1
       166           02.10.2022 06:19:12      19,2           55,2
       167           02.10.2022 06:24:12      19,2           55,2
       168           02.10.2022 06:29:12      19,2           55,2
       169           02.10.2022 06:34:12      19,2           55,2
       170           02.10.2022 06:39:12      19,2           55,2
       171           02.10.2022 06:44:12      19,2           55,2
       172           02.10.2022 06:49:12      19,2           55,2
       173           02.10.2022 06:54:12      19,2           55,2
       174           02.10.2022 06:59:12      19,2           55,3
       175           02.10.2022 07:04:12      19,2           55,2
       176           02.10.2022 07:09:12      19,2           55,2
       177           02.10.2022 07:14:12      19,2           55,2
       178           02.10.2022 07:19:12      19,2           55,2
       179           02.10.2022 07:24:12      19,2           55,3
       180           02.10.2022 07:29:12      19,2           55,3
       181           02.10.2022 07:34:12      19,2           55,3
       182           02.10.2022 07:39:12      19,2           55,3
       183           02.10.2022 07:44:12      19,2           55,2
       184           02.10.2022 07:49:12      19,2           55,2
       185           02.10.2022 07:54:12      19,2           55,3
       186           02.10.2022 07:59:12      19,2           55,3
       187           02.10.2022 08:04:12      19,2           55,3
       188           02.10.2022 08:09:12      19,2           55,3
       189           02.10.2022 08:14:12      19,2           55,3
       190           02.10.2022 08:19:12      19,2           55,3
       191           02.10.2022 08:24:12      19,2           55,3
       192           02.10.2022 08:29:12      19,2           55,3
       193           02.10.2022 08:34:12      19,1           55,3
       194           02.10.2022 08:39:12      19,1           55,3
       195           02.10.2022 08:44:12      19,1           55,4
