                                        Data Report
                                                                  File created on:2022-10-09 15:23:56

Device Model:RC-51H
Serial Number:EL2005001039
Firmware Version:V2,1
Trip Number:0000001
Trip Description:Temperature recording.                                                                             
Start Mode:Immediate Start
Logging Interval:0:5:0
Start Delay:0H0M
Repeat Start:Enable
Time Zone:UTC +00:00
Stop Mode:Press Button  + Use Software
Light:Disable
Alarm Logging Interval Shorten:Disable
Mark Time    N/A
First Reading:2022-10-01 14:11:03
Last Reading:2022-10-09 13:21:03
Maximum:25,4°C / 66,3%RH
Minimum:16,4°C / 41,4%RH
Average:17,8°C / 58,9%RH
Mean Kinetic Temperature (MKT):17,9°C
Logging Duration:7D 23H 10M 0S
Current Readings:2295
First Alarm(Temperature):N/A
First Alarm(Humidity):N/A

       No.                     Time       Temperature°C  Humidity%RH
         1           01.10.2022 14:11:03      23,6             41,4
         2           01.10.2022 14:16:03      24,6             55,7
         3           01.10.2022 14:21:03      25,4             47,5
         4           01.10.2022 14:26:03      25,4             46,6
         5           01.10.2022 14:31:03      24,2             41,6
         6           01.10.2022 14:36:03      23,9               42
         7           01.10.2022 14:41:03      22,7             44,2
         8           01.10.2022 14:46:03      21,9             45,7
         9           01.10.2022 14:51:03      21,3               47
        10           01.10.2022 14:56:03      20,8               48
        11           01.10.2022 15:01:03      20,5             48,8
        12           01.10.2022 15:06:03      20,3             49,6
        13           01.10.2022 15:11:03      20,1             50,1
        14           01.10.2022 15:16:03      19,9             50,5
        15           01.10.2022 15:21:03      19,8             50,9
        16           01.10.2022 15:26:03      19,7             51,2
        17           01.10.2022 15:26:03      20,4             53,4
        18           01.10.2022 15:36:03        21             48,9
        19           01.10.2022 15:41:03      20,5             49,8
        20           01.10.2022 15:46:03      20,3             50,3
        21           01.10.2022 15:51:03      20,1             50,8
        22           01.10.2022 15:56:03      19,9             51,1
        23           01.10.2022 16:01:03      19,8             51,5
        24           01.10.2022 16:06:03      19,7             51,7
        25           01.10.2022 16:11:03      19,6             51,9
        26           01.10.2022 16:16:03      19,5             52,1
        27           01.10.2022 16:21:03      19,5             52,3
        28           01.10.2022 16:26:03      19,5             52,4
        29           01.10.2022 16:31:03      19,4             52,5
        30           01.10.2022 16:36:03      19,4             52,6
        31           01.10.2022 16:41:03      19,4             52,6
        32           01.10.2022 16:46:03      19,3             52,7
        33           01.10.2022 16:51:03      19,3             52,7
        34           01.10.2022 16:56:03      19,3             52,7
        35           01.10.2022 17:01:03      19,3             52,8
        36           01.10.2022 17:06:03      19,3             52,9
        37           01.10.2022 17:11:03      19,3             52,9
        38           01.10.2022 17:16:03      19,2               53
        39           01.10.2022 17:21:03      19,2               53
        40           01.10.2022 17:26:03      19,2             53,1
        41           01.10.2022 17:31:03      19,2             53,1
        42           01.10.2022 17:36:03      19,2             53,1
        43           01.10.2022 17:41:03      19,2             53,1
        44           01.10.2022 17:46:03      19,1             53,1
        45           01.10.2022 17:51:03      19,2             53,2
        46           01.10.2022 17:56:03      19,1             53,2
        47           01.10.2022 18:01:03      19,1             53,2
        48           01.10.2022 18:06:03      19,1             53,2
        49           01.10.2022 18:11:03      19,1             53,3
        50           01.10.2022 18:16:03      19,1             53,3
        51           01.10.2022 18:21:03      19,1             53,3
        52           01.10.2022 18:26:03      19,1             53,3
        53           01.10.2022 18:31:03      19,1             53,3
        54           01.10.2022 18:36:03      19,1             53,3
        55           01.10.2022 18:41:03      19,1             53,3
        56           01.10.2022 18:46:03      19,1             53,4
        57           01.10.2022 18:51:03      19,1             53,4
        58           01.10.2022 18:56:03      19,1             53,4
        59           01.10.2022 19:01:03        19             53,4
        60           01.10.2022 19:06:03        19             53,4
        61           01.10.2022 19:11:03        19             53,4
        62           01.10.2022 19:16:03        19             53,4
        63           01.10.2022 19:21:03        19             53,4
        64           01.10.2022 19:26:03        19             53,4
        65           01.10.2022 19:31:03      18,9             53,5
        66           01.10.2022 19:36:03        19             53,5
        67           01.10.2022 19:41:03      18,9             53,5
        68           01.10.2022 19:46:03      18,9             53,5
        69           01.10.2022 19:51:03      18,9             53,5
        70           01.10.2022 19:56:03      18,9             53,5
        71           01.10.2022 20:01:03      18,9             53,5
