                                        Data Report
                                                                  File created on:2022-09-04 12:03:34

Device Model:RC-51H
Serial Number:EL2104003867
Firmware Version:V2,2
Trip Number:0000001
Trip Description:Temperature recording.                                                                             
Start Mode:Press Button 
Logging Interval:0:5:0
Start Delay:0H0M
Repeat Start:Enable
Time Zone:UTC +00:00
Stop Mode:Press Button  + Use Software
Light:Disable
Alarm Logging Interval Shorten:Disable
Mark Time    N/A
First Reading:2022-08-29 19:24:05
Last Reading:2022-09-04 09:59:05
Maximum:26,4°C / 81,7%RH
Minimum:21,2°C / 37,5%RH
Average:22,8°C / 53,5%RH
Mean Kinetic Temperature (MKT):22,8°C
Logging Duration:5D 14H 35M 0S
Current Readings:1616
First Alarm(Temperature):N/A
First Alarm(Humidity):N/A

       No.                     Time       Temperature°C  Humidity%RH
         1           29.08.2022 19:24:05      26,1             48,8
         2           29.08.2022 19:29:05      26,4             41,3
         3           29.08.2022 19:34:05      25,1             43,4
         4           29.08.2022 19:39:05      24,4             44,8
         5           29.08.2022 19:44:05      23,9             45,9
         6           29.08.2022 19:49:05      23,6             46,6
         7           29.08.2022 19:54:05      23,4             48,8
         8           29.08.2022 19:59:05      23,2             48,5
         9           29.08.2022 20:04:05        23             48,6
        10           29.08.2022 20:09:05        23               49
        11           29.08.2022 20:14:05      22,9             49,3
        12           29.08.2022 20:19:05      22,8             49,8
        13           29.08.2022 20:24:05      22,8             50,1
        14           29.08.2022 20:29:05      22,8             50,4
        15           29.08.2022 20:34:05      22,7             50,7
        16           29.08.2022 20:39:05      22,7             50,6
        17           29.08.2022 20:44:05      22,7             50,8
        18           29.08.2022 20:49:05      22,7               51
        19           29.08.2022 20:54:05      22,7             51,3
        20           29.08.2022 20:59:05      22,7             51,3
        21           29.08.2022 21:04:05      22,7             51,6
        22           29.08.2022 21:09:05      22,8               52
        23           29.08.2022 21:14:05      22,8             52,2
        24           29.08.2022 21:19:05      22,8             52,5
        25           29.08.2022 21:24:05      22,9               53
        26           29.08.2022 21:29:05      22,9             53,4
        27           29.08.2022 21:34:05      22,8             52,9
        28           29.08.2022 21:39:05      22,8             52,3
        29           29.08.2022 21:44:05      22,8               52
        30           29.08.2022 21:49:05      22,7             51,6
        31           29.08.2022 21:54:05      22,7             51,5
        32           29.08.2022 21:59:05      22,7             51,2
        33           29.08.2022 22:04:05      22,7               51
        34           29.08.2022 22:09:05      22,7             50,3
        35           29.08.2022 22:14:05      22,6             50,3
        36           29.08.2022 22:19:05      22,7             50,1
        37           29.08.2022 22:24:05      22,7             50,4
        38           29.08.2022 22:29:05      22,6             50,4
        39           29.08.2022 22:34:05      22,6             50,4
        40           29.08.2022 22:39:05      22,6             50,3
        41           29.08.2022 22:44:05      22,6             50,4
        42           29.08.2022 22:49:05      22,6             50,5
        43           29.08.2022 22:54:05      22,6             50,4
        44           29.08.2022 22:59:05      22,6             50,5
        45           29.08.2022 23:04:05      22,6               51
        46           29.08.2022 23:09:05      22,6             51,4
        47           29.08.2022 23:14:05      22,6             51,7
        48           29.08.2022 23:19:05      22,6             51,8
        49           29.08.2022 23:24:05      22,6             51,9
        50           29.08.2022 23:29:05      22,6             51,7
        51           29.08.2022 23:34:05      22,6             51,9
        52           29.08.2022 23:39:05      22,6             51,9
        53           29.08.2022 23:44:05      22,6             51,8
        54           29.08.2022 23:49:05      22,6             51,8
        55           29.08.2022 23:54:05      22,6             51,7
        56           29.08.2022 23:59:05      22,6             51,7
        57           30.08.2022 00:04:05      22,6             51,7
        58           30.08.2022 00:09:05      22,6             51,6
        59           30.08.2022 00:14:05      22,6             51,4
        60           30.08.2022 00:19:05      22,6             51,2
        61           30.08.2022 00:24:05      22,6             50,9
        62           30.08.2022 00:29:05      22,6               51
        63           30.08.2022 00:34:05      22,6               51
        64           30.08.2022 00:39:05      22,6               51
        65           30.08.2022 00:44:05      22,6               51
        66           30.08.2022 00:49:05      22,5             50,8
        67           30.08.2022 00:54:05      22,5             50,8
        68           30.08.2022 00:59:05      22,5             50,8
        69           30.08.2022 01:04:05      22,5             50,8
        70           30.08.2022 01:09:05      22,5             50,9
        71           30.08.2022 01:14:05      22,5             50,8
        72           30.08.2022 01:19:05      22,5             50,8
        73           30.08.2022 01:24:05      22,5             50,6
        74           30.08.2022 01:29:05      22,5             50,7
        75           30.08.2022 01:34:05      22,5             50,6
        76           30.08.2022 01:39:05      22,5             50,6
        77           30.08.2022 01:44:05      22,5             50,7
        78           30.08.2022 01:49:05      22,5             50,6
        79           30.08.2022 01:54:05      22,5             50,6
        80           30.08.2022 01:59:05      22,5             50,6
        81           30.08.2022 02:04:05      22,5             50,5
        82           30.08.2022 02:09:05      22,5             50,6
        83           30.08.2022 02:14:05      22,5             50,7
        84           30.08.2022 02:19:05      22,5             50,7
        85           30.08.2022 02:24:05      22,5             50,8
        86           30.08.2022 02:29:05      22,5             50,8
        87           30.08.2022 02:34:05      22,5             50,9
        88           30.08.2022 02:39:05      22,5               51
        89           30.08.2022 02:44:05      22,5               51
        90           30.08.2022 02:49:05      22,5             51,2
        91           30.08.2022 02:54:05      22,5             51,2
        92           30.08.2022 02:59:05      22,5             51,2
        93           30.08.2022 03:04:05      22,5             51,1
        94           30.08.2022 03:09:05      22,5             51,2
        95           30.08.2022 03:14:05      22,5             51,2
        96           30.08.2022 03:19:05      22,5             51,2
        97           30.08.2022 03:24:05      22,5             51,2
        98           30.08.2022 03:29:05      22,5             51,1
        99           30.08.2022 03:34:05      22,5             51,3
       100           30.08.2022 03:39:05      22,5             51,3
       101           30.08.2022 03:44:05      22,5             51,2
       102           30.08.2022 03:49:05      22,5             51,3
       103           30.08.2022 03:54:05      22,5             51,4
       104           30.08.2022 03:59:05      22,5             51,4
       105           30.08.2022 04:04:05      22,5               52
       106           30.08.2022 04:09:05      22,6             57,5
       107           30.08.2022 04:14:05      22,7               62
       108           30.08.2022 04:19:05      22,8             79,6
       109           30.08.2022 04:24:05      22,9             70,6
       110           30.08.2022 04:29:05      22,8             63,3
       111           30.08.2022 04:34:05      22,2             49,9
       112           30.08.2022 04:39:05      21,8             49,3
       113           30.08.2022 04:44:05      21,5             49,6
       114           30.08.2022 04:49:05      21,2             49,8
       115           30.08.2022 04:54:05      21,2             51,6
       116           30.08.2022 04:59:05      21,5             52,8
       117           30.08.2022 05:04:05      21,6             50,6
       118           30.08.2022 05:09:05      21,2             49,8
       119           30.08.2022 05:14:05      21,3             53,5
       120           30.08.2022 05:19:05      21,6             53,4
       121           30.08.2022 05:24:05      21,7             54,3
       122           30.08.2022 05:29:05      21,9             55,9
       123           30.08.2022 05:34:05        22             57,1
       124           30.08.2022 05:39:05      22,1             57,8
       125           30.08.2022 05:44:05      22,1             54,9
       126           30.08.2022 05:49:05      22,2             53,6
       127           30.08.2022 05:54:05      22,2             53,2
       128           30.08.2022 05:59:05      22,2             53,2
       129           30.08.2022 06:04:05      22,3             52,8
       130           30.08.2022 06:09:05      22,3             53,2
       131           30.08.2022 06:14:05      22,3             52,9
       132           30.08.2022 06:19:05      22,3             52,3
       133           30.08.2022 06:24:05      22,3             51,8
       134           30.08.2022 06:29:05      22,3             51,7
       135           30.08.2022 06:34:05      22,3             51,5
       136           30.08.2022 06:39:05      22,3             51,4
       137           30.08.2022 06:44:05      22,3             51,5
       138           30.08.2022 06:49:05      22,3             51,9
       139           30.08.2022 06:54:05      22,3             51,4
       140           30.08.2022 06:59:05      22,3             52,4
       141           30.08.2022 07:04:05      22,3             52,3
       142           30.08.2022 07:09:05      22,3             52,2
       143           30.08.2022 07:14:05      22,3               52
       144           30.08.2022 07:19:05      22,3             52,1
       145           30.08.2022 07:24:05      22,3             53,4
       146           30.08.2022 07:29:05      22,4             52,9
       147           30.08.2022 07:34:05      22,4               52
       148           30.08.2022 07:39:05      22,4             51,9
       149           30.08.2022 07:44:05      22,4             51,6
       150           30.08.2022 07:49:05      22,4               52
       151           30.08.2022 07:54:05      22,3             51,6
       152           30.08.2022 07:59:05      22,3             51,3
       153           30.08.2022 08:04:05      22,3             51,5
       154           30.08.2022 08:09:05      22,3             51,3
       155           30.08.2022 08:14:05      22,3             51,4
       156           30.08.2022 08:19:05      22,4             51,4
       157           30.08.2022 08:24:05      22,3             51,8
       158           30.08.2022 08:29:05      22,3             51,6
       159           30.08.2022 08:34:05      22,4             51,4
       160           30.08.2022 08:39:05      22,4             51,4
       161           30.08.2022 08:44:05      22,4             51,2
       162           30.08.2022 08:49:05      22,4             51,1
       163           30.08.2022 08:54:05      22,4               51
       164           30.08.2022 08:59:05      22,4             50,7
       165           30.08.2022 09:04:05      22,4             50,9
       166           30.08.2022 09:09:05      22,4               51
       167           30.08.2022 09:14:05      22,4             50,8
       168           30.08.2022 09:19:05      22,4             50,8
       169           30.08.2022 09:24:05      22,4               51
       170           30.08.2022 09:29:05      22,5             50,9
       171           30.08.2022 09:34:05      22,5             51,3
       172           30.08.2022 09:39:05      22,5             51,1
       173           30.08.2022 09:44:05      22,5               51
       174           30.08.2022 09:49:05      22,5             51,2
       175           30.08.2022 09:54:05      22,6             52,9
       176           30.08.2022 09:59:05      22,6             52,8
       177           30.08.2022 10:04:05      22,6             53,2
       178           30.08.2022 10:09:05      22,7             51,4
       179           30.08.2022 10:14:05      22,7             51,4
       180           30.08.2022 10:19:05      22,7             50,5
       181           30.08.2022 10:24:05      22,7               50
       182           30.08.2022 10:29:05      22,7               49
       183           30.08.2022 10:34:05      22,8             48,3
       184           30.08.2022 10:39:05      22,8               48
       185           30.08.2022 10:44:05      22,9             47,5
       186           30.08.2022 10:49:05      22,9             47,5
       187           30.08.2022 10:54:05        23             47,5
       188           30.08.2022 10:59:05        23             47,3
       189           30.08.2022 11:04:05        23             47,7
       190           30.08.2022 11:09:05        23             48,7
       191           30.08.2022 11:14:05        23               48
       192           30.08.2022 11:19:05        23             48,9
       193           30.08.2022 11:24:05        23             48,9
       194           30.08.2022 11:29:05      23,1             48,5
       195           30.08.2022 11:34:05      23,1             47,5
       196           30.08.2022 11:39:05      23,1             47,8
       197           30.08.2022 11:44:05      23,2               47
       198           30.08.2022 11:49:05      23,2             46,7
       199           30.08.2022 11:54:05      23,3             46,9
       200           30.08.2022 11:59:05      23,3             46,8
       201           30.08.2022 12:04:05      23,3             46,8
       202           30.08.2022 12:09:05      23,3             46,5
       203           30.08.2022 12:14:05      23,3             46,8
       204           30.08.2022 12:19:05      23,3             47,1
       205           30.08.2022 12:24:05      23,3             47,2
       206           30.08.2022 12:29:05      23,2             48,3
       207           30.08.2022 12:34:05      23,3             47,5
       208           30.08.2022 12:39:05      23,3             48,9
       209           30.08.2022 12:44:05      23,3             51,1
       210           30.08.2022 12:49:05      23,4             48,7
       211           30.08.2022 12:54:05      23,4             48,1
       212           30.08.2022 12:59:05      23,4             48,2
       213           30.08.2022 13:04:05      23,4               48
       214           30.08.2022 13:09:05      23,3             48,7
       215           30.08.2022 13:14:05      23,4             47,4
       216           30.08.2022 13:19:05      23,3               48
       217           30.08.2022 13:24:05      23,5               47
       218           30.08.2022 13:29:05      23,7             46,6
